City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Laguna,US,38.421,-121.4238,79.14,27,1,5.01,clear sky
79,Atuona,PF,-9.8,-139.0333,78.84,74,15,19.82,few clouds
80,Mogadishu,SO,2.0371,45.3438,77.45,84,73,17.22,broken clouds
81,Burnie,AU,-41.0667,145.9167,54.95,53,33,15.14,scattered clouds
82,Port-Cartier,CA,50.0334,-66.8654,53.82,64,84,4.76,broken clouds
83,Barrow,US,71.2906,-156.7887,30.22,93,90,11.5,mist
84,Prado,BR,-17.3411,-39.2208,73.94,86,3,5.21,clear sky
85,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,83,75,16.11,broken clouds
86,Opuwo,NA,-18.0607,13.84,65.97,29,44,3.22,scattered clouds
87,Bousso,TD,10.4795,16.7117,77.47,67,30,5.17,scattered clouds
88,Bathsheba,BB,13.2167,-59.5167,83.01,78,40,21.85,scattered clouds
89,Itarema,BR,-2.9248,-39.9167,79.48,81,98,16.87,overcast clouds
90,Nago,JP,26.5881,127.9761,80.67,81,93,12.93,light rain
91,Hilo,US,19.7297,-155.09,82.13,72,75,11.5,light rain
92,Nara,JP,34.6851,135.8049,72.72,64,9,3.22,clear sky
93,Terrace,CA,54.5163,-128.6035,51.71,62,75,10.36,broken clouds
94,Luderitz,NA,-26.6481,15.1594,59.85,61,0,5.79,clear sky
95,Komsomolskiy,UZ,40.4272,71.7189,51.22,78,46,2.13,scattered clouds
96,Qaanaaq,GL,77.484,-69.3632,19.9,64,4,8.01,clear sky
97,Necochea,AR,-38.5473,-58.7368,45.03,72,24,9.15,few clouds
98,Kodiak,US,57.79,-152.4072,51.31,76,90,4.61,overcast clouds
99,Ust-Ordynskiy,RU,52.805,104.7508,28.24,77,35,0.6,scattered clouds
100,Torbay,CA,47.6666,-52.7314,56.26,83,40,12.66,scattered clouds
101,Karratha,AU,-20.7377,116.8463,80.24,43,0,10.16,clear sky
102,Taybad,IR,34.74,60.7756,53.06,33,0,10.07,clear sky
103,Geraldton,AU,-28.7667,114.6,52.21,71,0,5.75,clear sky
104,Hualmay,PE,-11.0964,-77.6139,63.46,84,32,8.55,scattered clouds
105,Palmer,US,42.1584,-72.3287,64.08,80,20,0.0,few clouds
106,Ketchikan,US,55.3422,-131.6461,50.47,46,20,0.0,few clouds
107,Jilib,SO,0.4883,42.7854,74.34,87,89,8.32,overcast clouds
108,Coquimbo,CL,-29.9533,-71.3436,55.13,82,75,9.22,broken clouds
109,Longyearbyen,SJ,78.2186,15.6401,33.64,86,75,8.05,light rain and snow
110,Jijiang,CN,29.2906,106.2542,69.37,84,100,2.37,overcast clouds
111,Nytva,RU,57.9404,55.334,30.09,93,32,3.11,scattered clouds
112,Flagstaff,US,35.1981,-111.6513,68.31,46,1,3.0,clear sky
113,Georgetown,MY,5.4112,100.3354,80.53,92,40,8.01,scattered clouds
114,Victoria,HK,22.2855,114.1577,86.38,69,3,1.99,clear sky
115,Yakeshi,CN,49.2833,120.7333,39.09,61,70,10.33,broken clouds
116,Lebyazhye,RU,55.2689,66.4947,35.76,79,43,9.33,scattered clouds
117,Saint-Philippe,RE,-21.3585,55.7679,69.39,82,25,3.47,scattered clouds
