City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Luderitz,NA,2021-10-02 12:35:27,-26.6481,15.1594,66.56,51,0,31.14
68,Belaya Gora,RU,2021-10-02 12:40:10,68.5333,146.4167,22.93,80,100,8.01
69,Hermanus,ZA,2021-10-02 12:34:54,-34.4187,19.2345,57.79,59,84,13.11
70,Thompson,CA,2021-10-02 12:35:27,55.7435,-97.8558,41.16,100,75,3.44
71,Tiksi,RU,2021-10-02 12:35:30,71.6872,128.8694,25.21,89,40,13.11
72,Quatre Cocos,MU,2021-10-02 12:40:11,-20.2078,57.7625,77.11,74,32,16.44
73,Mahebourg,MU,2021-10-02 12:35:05,-20.4081,57.7,77.29,69,75,16.11
74,Codrington,AU,2021-10-02 12:36:19,-38.2667,141.9667,48.76,93,7,4.79
75,Ternate,ID,2021-10-02 12:40:11,0.8,127.4,80.6,77,100,1.36
76,Bredasdorp,ZA,2021-10-02 12:34:42,-34.5322,20.0403,57.27,56,78,16.46
77,Touros,BR,2021-10-02 12:40:12,-5.1989,-35.4608,83.3,60,9,14.72
78,Ilulissat,GL,2021-10-02 12:34:42,69.2167,-51.1,30.22,93,75,3.44
79,Port Elizabeth,ZA,2021-10-02 12:35:06,-33.918,25.5701,61.09,63,20,29.93
80,San Patricio,US,2021-10-02 12:35:41,28.017,-97.5169,76.82,90,79,4.81
81,Katsuura,JP,2021-10-02 12:35:14,35.1333,140.3,78.19,83,0,9.48
82,Ucluelet,CA,2021-10-02 12:40:12,48.9329,-125.5528,50.09,91,100,2.3
83,Yinchuan,CN,2021-10-02 12:40:13,38.4681,106.2731,74.86,16,100,15.35
84,Narok,KE,2021-10-02 12:40:13,-1.0783,35.8601,71.96,51,99,3.42
85,Chimoio,MZ,2021-10-02 12:40:13,-19.1164,33.4833,93.06,17,0,10.36
86,Atuona,PF,2021-10-02 12:34:44,-9.8,-139.0333,77.59,75,97,22.15
87,Lithgow,AU,2021-10-02 12:40:14,-33.4833,150.15,48.87,96,25,7.31
88,Broome,US,2021-10-02 12:36:05,42.2506,-75.833,56.64,91,1,1.99
89,Terrace,CA,2021-10-02 12:40:14,54.5163,-128.6035,44.51,93,90,18.41
90,Vestmannaeyjar,IS,2021-10-02 12:36:23,63.4427,-20.2734,47.39,76,40,23.02
91,Henties Bay,NA,2021-10-02 12:36:53,-22.116,14.2845,59.86,75,5,14.2
92,Mount Gambier,AU,2021-10-02 12:34:54,-37.8333,140.7667,51.71,100,90,6.91
93,Takoradi,GH,2021-10-02 12:36:11,4.8845,-1.7554,81.5,77,33,8.12
94,Pingliang,CN,2021-10-02 12:39:11,35.5392,106.6861,65.21,87,100,3.69
95,Bathsheba,BB,2021-10-02 12:40:15,13.2167,-59.5167,86.61,70,40,27.63
96,Bethel,US,2021-10-02 12:34:39,41.3712,-73.414,59.49,94,1,0.0
97,Hithadhoo,MV,2021-10-02 12:35:29,-0.6,73.0833,83.05,73,100,10.36
98,Puerto Ayora,EC,2021-10-02 12:33:59,-0.7393,-90.3518,69.06,92,100,8.7
